	GpoIngr	GpoPob	Region	DE	Edu	IS	Cvida	Pol
Albania	Bajo	Bajo	Sur_Europa	34.0862	81.0164	71.0244	67.924	58.6742
Algeria	Medio	Medio	Africa_Norte	25.8057	74.8027	66.1951	60.9347	32.6054
Argentina	Medio	Medio	Sud_America	37.4511	69.8825	78.2683	68.1559	68.6647
Australia	Alto	Medio	Australia	71.4888	91.4802	95.1707	90.5729	90.9629
Austria	Alto	Bajo	Europa_Central	53.9431	90.4578	90.3415	87.563	91.2073
Azerbaijan	Bajo	Bajo	Asia_central	53.6457	68.988	58.9512	68.9572	40.039
Bangladesh	Bajo	Alto	Asia_Sur	31.058	58.6306	51.7073	48.5346	47.0631
Belarus	Medio	Bajo	Asia_central	51.915	86.6155	66.1951	74.1467	34.0501
Belgium	Alto	Bajo	Norte_Europa	60.4988	92.0681	90.3415	85.3846	85.0999
Bolivia	Bajo	Bajo	Sud_America	26.9803	81.601	56.5366	57.0621	57.1
Botswana	Medio	Bajo	Africa	43.6952	73.4608	34.8049	50.0875	72.6833
Brazil	Medio	Alto	Sud_America	47.8506	71.3735	71.0244	62.4238	67.4131
Bulgaria	Medio	Bajo	Sur_Europa	43.7178	82.2277	75.8537	73.1197	73.1686
Burkina_Faso	Bajo	Bajo	Africa	32.7894	44.5024	20.3171	26.329	44.0296
Cameroon	Bajo	Bajo	Africa	26.4328	66.0308	25.1463	42.3787	33.1371
Canada	Alto	Medio	Norte_America	68.46	96.7199	92.7561	88.0163	90.474
Chile	Medio	Bajo	Sud_America	58.0767	80.6175	85.5122	69.4734	76.9
China	Bajo	Alto	Asia	62.6262	78.0662	75.8537	61.0023	32.9684
Colombia	Medio	Medio	Sud_America	41.1648	75.4289	75.8537	53.5549	56.6111
Costa_Rica	Medio	Bajo	Centro_America	38.0793	80.38	83.0976	70.386	77.6297
Croatia	Alto	Bajo	Europa_Central	52.9764	90.4578	80.6829	74.4456	75.8574
Cuba	Medio	Bajo	Caribe	37.7251	90.7114	83.0976	75.7909	32.4759
Czech_Republic	Alto	Bajo	Europa_Central	50.1115	90.9946	85.5122	77.1468	81.6777
Denmark	Alto	Bajo	Norte_Europa	65.0819	90.6815	90.3415	90.6586	92.6703
Dominican_Republic	Medio	Bajo	Caribe	39.6553	78.5561	68.6098	63.6781	62.7723
Ecuador	Bajo	Bajo	Sud_America	23.9169	79.6607	71.0244	62.2891	53.4333
Egypt	Bajo	Alto	Africa_Norte	41.8745	77.9337	61.3659	63.6194	40.7687
El_Salvador	Bajo	Bajo	Centro_America	33.8093	73.4608	63.7805	56.6223	59.8537
